ID	Concept	Concepticon	ProtoTakana	ProtoPano_p	Doculect	Predicted	Form	Evaluation
26	*sangre	BLOOD	ami	am[i/ɨ]	Shipibo	[a/hi]m[i/ɨ]	himi	
30	*hueso	BONE	ʈʂau	ʂao	Shipibo	ʂao	ʂao	
32	*teta	BREAST	aʈʂu	aʂo	Shipibo	[a/hi]ʂo	ʂo	
85	*codo	ELBOW	baʈʂu	βaʂo	Shipibo	βaʂo	poto	
92	*grasa,gordura	FAT (ORGANIC SUBSTANCE)	ʈʂeri	ʂɨn[i/ɨ]	Shipibo	ʂɨn[i/ɨ]	ʂɨni	
100	*fuego	FIRE	tiki	[t/ts][i/ɨ]k[i/ɨ]	Shipibo	[t/ts/tʃ][i/ɨ]k[i/ɨ]	tʃii	
101	*fuego	FIRE	ti	[t/ts][i/ɨ]	Shipibo	[t/ts/tʃ][i/ɨ]	tʃii	
116	*pie,pierna	FOOT OR LEG	ʈʂaka	ʂaka	Shipibo	ʂaka	ta	
166	*hígado	LIVER	takʷa	[t/ts]a[kʷ/w]a	Shipibo	[t/ts/tʃ]a[k/w]a	taka	
181	*boca	MOUTH	kʷaʈʂa	[kʷ/w]aʂa	Shipibo	[k/w]aʂa	kɨʂa	
456	*piel	SKIN	biti	β[i/ɨ][t/ts][i/ɨ]	Shipibo	β[i/ɨ][t/ts/tʃ][i/ɨ]	βitʃi	
491	*lengua	TONGUE	ana	ana	Shipibo	[a/hi]na	hana	
492	*diente	TOOTH	ʈʂe	ʂɨ	Shipibo	ʂɨ	ʂɨ	
495	*árbol	TREE	kʷi	[kʷ/w][i/ɨ]	Shipibo	[k/w][i/ɨ]	hiwi	
498	*dos	TWO	beta	βɨ[t/ts]a	Shipibo	βɨ[t/ts/tʃ]a	βɨ	
